"ROW_ID","REQUEST_ID","STATUS","MESSAGE","REQUEST_DATE","CURRENCY_CODE","RECEIPT_DATE","GL_DATE","EXCHANGE_DATE","EXCHANGE_RATE_TYPE","RECEIPT_METHOD_ID","RECEIPT_NUMBER","REMITTANCE_BACK_ACC_ID","DEPOSIT_DATE","CUSTOMER_ID","ORG_ID","AMOUNT","REGION","INTEG_MODE"
509251,35664,Success, ,2026-06-02 09:14:54.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2911301,"300000066308340",2026-05-08 00:00:00.000,300000066308496,300000001421038,3593.44,SA,MANUAL
509249,35664,Success, ,2026-06-02 09:14:53.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912240,"300000156392385",2026-05-08 00:00:00.000,300000156392396,300000001421038,1323,SA,MANUAL
509248,35664,Success, ,2026-06-02 09:14:53.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912217,"300000056139955",2026-05-08 00:00:00.000,300000056571427,300000001421038,969,SA,MANUAL
509247,35664,Success, ,2026-06-02 09:14:53.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912240,"300000156392390",2026-05-08 00:00:00.000,300000156392396,300000001421038,1156,SA,MANUAL
509246,35664,Success, ,2026-06-02 09:14:52.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912217,"300000056139951",2026-05-08 00:00:00.000,300000056571427,300000001421038,3960,SA,MANUAL
509243,35664,Success, ,2026-06-02 09:14:40.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912239,"300000052482563",2026-05-08 00:00:00.000,300000052635104,300000001421038,626,SA,MANUAL
509242,35664,Success, ,2026-06-02 09:14:39.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912239,"300000052407292",2026-05-08 00:00:00.000,300000052635104,300000001421038,1865,SA,MANUAL
509241,35664,Success, ,2026-06-02 09:14:39.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912227,"300000158604409",2026-05-08 00:00:00.000,300000158776545,300000001421038,328,SA,MANUAL
509240,35664,Success, ,2026-06-02 09:14:38.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912227,"300000158604406",2026-05-08 00:00:00.000,300000158776545,300000001421038,99,SA,MANUAL
509239,35664,Success, ,2026-06-02 09:14:38.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912222,"300000056139979",2026-05-08 00:00:00.000,300000064679978,300000001421038,2,SA,MANUAL
509238,35664,Success, ,2026-06-02 09:14:38.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912227,"300000158604409",2026-05-08 00:00:00.000,300000158776545,300000001421038,2858,SA,MANUAL
509237,35664,Success, ,2026-06-02 09:14:37.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912222,"300000056277003",2026-05-08 00:00:00.000,300000064679978,300000001421038,58,SA,MANUAL
509236,35664,Success, ,2026-06-02 09:14:36.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912222,"300000056139979",2026-05-08 00:00:00.000,300000064679978,300000001421038,3842,SA,MANUAL
509235,35664,Success, ,2026-06-02 09:14:31.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912235,"300000052407283",2026-05-08 00:00:00.000,300000052635038,300000001421038,2071,SA,MANUAL
509234,35664,Success, ,2026-06-02 09:14:31.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2911305,"300000131168047",2026-05-08 00:00:00.000,300000133694814,300000001421038,384,SA,MANUAL
509233,35664,Success, ,2026-06-02 09:14:31.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2911304,"300000050634920",2026-05-08 00:00:00.000,300000051631314,300000001421038,290,SA,MANUAL
509232,35664,Success, ,2026-06-02 09:14:31.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2912235,"300000052407283",2026-05-08 00:00:00.000,300000052635038,300000001421038,3378,SA,MANUAL
509231,35664,Success, ,2026-06-02 09:14:31.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2911305,"300000131004934",2026-05-08 00:00:00.000,300000133694814,300000001421038,1518,SA,MANUAL
509230,35664,Success, ,2026-06-02 09:14:30.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518644,Master-2911304,"300000050634920",2026-05-08 00:00:00.000,300000051631314,300000001421038,259,SA,MANUAL
509229,35664,Success, ,2026-06-02 09:14:30.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2912235,"300000052482554",2026-05-08 00:00:00.000,300000052635038,300000001421038,9914,SA,MANUAL
509228,35664,Success, ,2026-06-02 09:14:30.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2911305,"300000131168047",2026-05-08 00:00:00.000,300000133694814,300000001421038,1932,SA,MANUAL
509227,35664,Success, ,2026-06-02 09:14:30.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518638,Cash-2911304,"300000050634924",2026-05-08 00:00:00.000,300000051631314,300000001421038,1761,SA,MANUAL
509226,35664,Success, ,2026-06-02 09:14:29.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2912235,"300000052407283",2026-05-08 00:00:00.000,300000052635038,300000001421038,997,SA,MANUAL
509225,35664,Success, ,2026-06-02 09:14:29.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518641,Mada-2911304,"300000050634920",2026-05-08 00:00:00.000,300000051631314,300000001421038,5399,SA,MANUAL
509214,35664,Success, ,2026-06-02 09:14:02.000,SAR,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,,,300000001518646,Visa-2912206,"300000056139967",2026-05-08 00:00:00.000,300000059418310,300000001421038,468,SA,MANUAL
